StockCode,ProductName,TotalSold,TotalRevenue,AvgPrice,OrderFrequency,UniqueCustomers,AvgDailyDemand,AnnualDemand,EOQ
16012,FOOD/DRINK SPUNGE STICKERS,852,177.72,0.20868421052631578,38,33,2.284182305630027,833.7265415549599,91.0
16014,SMALL CHINESE STYLE SCISSOR,321,130.82,0.41259259259259257,27,16,0.8605898123324397,314.11528150134046,56.0
16015,MEDIUM CHINESE STYLE SCISSOR,441,214.9,0.49222222222222217,36,24,1.1823056300268096,431.54155495978546,66.0
16016,LARGE CHINESE STYLE SCISSOR,478,390.7,0.837,40,27,1.2815013404825737,467.7479892761394,68.0
16020C,CLEAR STATIONERY BOX SET ,76,64.6,0.85,22,21,0.2037533512064343,74.36997319034852,27.0
16033,MINI HIGHLIGHTER PENS,1,0.12,0.12,1,1,0.002680965147453083,0.9785522788203753,3.0
16043,POP ART PUSH DOWN RUBBER ,124,52.08,0.42,8,7,0.3324396782841823,121.34048257372655,35.0
16046,TEATIME PEN CASE & PENS,142,120.7,0.85,26,25,0.3806970509383378,138.9544235924933,37.0
16047,POP ART PEN CASE & PENS,147,124.95,0.85,20,19,0.3941018766756032,143.84718498659518,38.0
16048,TEATIME ROUND PENCIL SHARPENER ,249,104.58,0.42,15,15,0.6675603217158177,243.65951742627345,49.0
16049,TEATIME GEL PENS ASST,288,120.96,0.42,8,8,0.7721179624664879,281.8230563002681,53.0
16050,TEATIME PENCIL WITH RUBBER,22,5.5,0.25,2,2,0.058981233243967826,21.528150134048257,15.0
16051,TEATIME PENCIL W STAMP ASST,72,30.24,0.42,2,2,0.19302949061662197,70.45576407506702,27.0
16052,TEATIME PUSH DOWN RUBBER,343,144.06,0.42,15,14,0.9195710455764075,335.6434316353887,58.0
16054,POPART RECT PENCIL SHARPENER ASST,39,16.38,0.42,4,4,0.10455764075067024,38.16353887399464,20.0
16119,FUNKY GIRL ADDRESS BOOK,29,36.25,1.25,5,5,0.0777479892761394,28.378016085790883,17.0
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,3,11.25,3.75,2,2,0.00804289544235925,2.935656836461126,5.0
16156L,"WRAP, CAROUSEL",425,178.5,0.42,17,16,1.1394101876675604,415.88471849865954,64.0
16156N,"WRAP, FRIENDSHIP ON GREEN",1300,546.0,0.42,52,50,3.485254691689008,1272.117962466488,113.0
16156S,WRAP PINK FAIRY CAKES ,5575,2339.5,0.4196412556053812,223,178,14.94638069705094,5455.428954423593,234.0
16161E,WRAP BOUDOIR ,150,15.0,0.10000000000000002,6,5,0.40214477211796246,146.7828418230563,38.0
16161G,WRAP BAD HAIR DAY,275,27.5,0.1,11,11,0.7372654155495979,269.10187667560325,52.0
16161M,WRAP  PINK FLOCK,900,376.0,0.41777777777777775,36,34,2.4128686327077746,880.6970509383377,94.0
16161P,WRAP ENGLISH ROSE ,4400,1846.0,0.41954545454545455,176,140,11.796246648793566,4305.630026809652,208.0
16161U,"WRAP,SUKI AND FRIENDS",4226,1768.92,0.41858823529411765,170,127,11.32975871313673,4135.361930294906,203.0
16162L,THE KING GIFT BAG,74,48.1,0.65,6,6,0.19839142091152814,72.41286863270777,27.0
16162M,THE KING GIFT BAG 25x24x12cm,60,25.2,0.42000000000000004,5,5,0.16085790884718498,58.71313672922252,24.0
16168M,FUNKY MONKEY GIFT BAG MEDIUM,409,164.57999999999998,0.40965517241379307,29,21,1.096514745308311,400.22788203753356,63.0
16168S,FUNKY MONKEY GIFT BAG SMALL,36,10.439999999999998,0.29,3,2,0.09651474530831099,35.22788203753351,19.0
16169A,WRAP CHRISTMAS DECOUPAGE,25,10.5,0.42,1,1,0.06702412868632708,24.463806970509385,16.0
16169C,WRAP BLUE REINDEER,925,388.5,0.42,37,37,2.479892761394102,905.1608579088472,95.0
16169D,WRAP WINTER FOREST,200,84.0,0.42,8,8,0.5361930294906166,195.71045576407508,44.0
16169F,WRAP BLIZZARD,725,304.5,0.42,29,29,1.9436997319034852,709.450402144772,84.0
16169G,WRAP ROMANTIC DECOUPAGE,25,10.5,0.42,1,1,0.06702412868632708,24.463806970509385,16.0
16169K,WRAP FOLK ART,1175,430.25,0.36617021276595746,47,45,3.1501340482573728,1149.798927613941,107.0
16169M,WRAP DAISY CARPET ,750,240.25,0.3203333333333333,30,29,2.0107238605898123,733.9142091152816,86.0
16169N,WRAP BLUE RUSSIAN FOLKART,1225,439.75,0.35897959183673467,49,45,3.284182305630027,1198.7265415549598,109.0
16169P,WRAP GREEN RUSSIAN FOLKART ,1050,389.25,0.3707142857142857,42,40,2.8150134048257374,1027.4798927613942,101.0
16201A,PASTEL PINK PHOTO ALBUM,100,199.8,2.55,8,7,0.2680965147453083,97.85522788203754,31.0
16201B,PASTEL BLUE PHOTO ALBUM,24,46.8,1.95,2,2,0.064343163538874,23.485254691689008,15.0
16202A,PASTEL PINK PHOTO ALBUM ,53,160.95,4.59,15,12,0.14209115281501342,51.8632707774799,23.0
16202B,PASTEL BLUE PHOTO ALBUM ,117,303.75,4.007142857142857,14,10,0.3136729222520107,114.4906166219839,34.0
16202C,BEIGE PHOTO ALBUM,94,201.29999999999998,3.0300000000000002,10,10,0.2520107238605898,91.98391420911528,30.0
16202E,BLACK PHOTO ALBUM ,66,143.1,3.3899999999999997,10,9,0.1769436997319035,64.58445040214477,25.0
16206B,RED PURSE WITH PINK HEART,89,107.65,1.2285714285714284,14,12,0.2386058981233244,87.0911528150134,30.0
16207A,PINK STRAWBERRY HANDBAG ,42,123.90000000000002,2.95,14,13,0.1126005361930295,41.09919571045577,20.0
16207B,PINK HEART RED HANDBAG,87,154.65,2.5722222222222224,9,8,0.23324396782841822,85.13404825737265,29.0
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,357,232.04999999999998,0.65,30,29,0.9571045576407506,349.34316353887397,59.0
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2,0.65,3,3,0.021447721179624665,7.828418230563003,9.0
16216,LETTER SHAPE PENCIL SHARPENER,339,54.24,0.16,31,30,0.9088471849865952,331.72922252010727,58.0
16218,CARTOON  PENCIL SHARPENERS,125,20.0,0.16,12,12,0.3351206434316354,122.31903485254692,35.0
16219,HOUSE SHAPE PENCIL SHARPENER,291,61.11,0.21,19,18,0.7801608579088471,284.7587131367292,53.0
16225,RATTLE SNAKE EGGS,228,285.0,1.25,33,33,0.6112600536193029,223.10991957104557,47.0
16235,RECYCLED PENCIL WITH RABBIT ERASER,792,166.32,0.21,57,50,2.123324396782842,775.0134048257373,88.0
16236,KITTY PENCIL ERASERS,1022,214.62,0.21,68,59,2.739946380697051,1000.0804289544236,100.0
16237,SLEEPING CAT ERASERS,3226,677.46,0.21,164,124,8.648793565683647,3156.809651474531,178.0
16238,PARTY TIME PENCIL ERASERS,974,204.54,0.21,59,53,2.611260053619303,953.1099195710456,98.0
16239,BALLERINA HEART DECORATION.,50,108.4,2.8083333333333336,12,12,0.13404825737265416,48.92761394101877,22.0
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,7,29.75,4.25,4,4,0.01876675603217158,6.849865951742627,8.0
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,29.75,4.25,4,4,0.01876675603217158,6.849865951742627,8.0
16245A,PINK MINI STATIONERY SET W CASE,11,13.75,1.25,7,7,0.029490616621983913,10.764075067024129,10.0
16248B,BLUE HOLE PUNCH,20,25.0,1.25,4,4,0.05361930294906166,19.571045576407506,14.0
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,17,14.45,0.85,9,9,0.045576407506702415,16.635388739946382,13.0
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,349,146.58,0.42,18,15,0.935656836461126,341.514745308311,58.0
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,121,50.82,0.42,9,7,0.32439678284182305,118.40482573726541,34.0
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,403,157.29999999999998,0.3964102564102564,37,35,1.0804289544235925,394.3565683646113,63.0
16258B,DAISY ERASERS IN BAG,236,54.959999999999994,0.2945454545454545,10,10,0.6327077747989276,230.93833780160858,48.0
16259,PIECE OF CAMO STATIONERY SET,149,31.29,0.21,8,8,0.39946380697050937,145.80428954423593,38.0
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,491,142.39,0.29,19,16,1.3163538873994638,480.4691689008043,69.0
17003,BROCADE RING PURSE ,3098,646.98,0.20915254237288136,117,94,8.305630026809652,3031.554959785523,174.0
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,22,46.2,2.1,5,5,0.058981233243967826,21.528150134048257,15.0
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,13,27.299999999999997,2.1,3,3,0.03485254691689008,12.721179624664881,11.0
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,19,11.100000000000001,1.2,2,2,0.05093833780160858,18.59249329758713,14.0
17011D,ORIGAMI ROSE INCENSE+FLOWER,15,4.5,0.3,1,1,0.040214477211796246,14.67828418230563,12.0
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,60,97.0,1.8928571428571428,7,7,0.16085790884718498,58.71313672922252,24.0
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,38,56.099999999999994,2.307142857142857,7,7,0.10187667560321716,37.18498659517426,19.0
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,66,86.69999999999999,2.2409090909090907,11,10,0.1769436997319035,64.58445040214477,25.0
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,31,79.05,2.55,11,11,0.08310991957104558,30.335120643431637,17.0
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,41,63.75,2.307142857142857,7,7,0.10991957104557641,40.12064343163539,20.0
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,13,33.15,2.55,8,8,0.03485254691689008,12.721179624664881,11.0
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,32,40.8,2.125,4,4,0.08579088471849866,31.31367292225201,18.0
17013D,ORIGAMI ROSE INCENSE IN TUBE,42,69.3,1.6499999999999997,6,5,0.1126005361930295,41.09919571045577,20.0
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,5,8.25,1.6499999999999997,3,3,0.013404825737265416,4.892761394101877,7.0
17014A,ORIGAMI VANILLA INCENSE CONES,4,6.6,1.65,1,1,0.010723860589812333,3.9142091152815013,6.0
17014D,ORIGAMI ROSE INCENSE CONES,4,6.6,1.6499999999999997,2,2,0.010723860589812333,3.9142091152815013,6.0
17014E,ORIGAMI OPIUM INCENSE CONES,4,6.6,1.6499999999999997,3,3,0.010723860589812333,3.9142091152815013,6.0
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,4,6.6,1.6499999999999997,3,3,0.010723860589812333,3.9142091152815013,6.0
17021,NAMASTE SWAGAT INCENSE,497,149.1,0.3,26,22,1.3324396782841823,486.34048257372655,70.0
17033,"BROCADE PURSE,SMALL ARCH BUTTON",1508,431.56,0.2871428571428571,56,49,4.042895442359249,1475.656836461126,121.0
17038,PORCELAIN BUDAH INCENSE HOLDER,23,2.3,0.1,2,2,0.06166219839142091,22.506702412868634,15.0
17039,INLAID WOOD INCENSE HOLDER,106,30.74,0.29,15,11,0.28418230563002683,103.7265415549598,32.0
17084A,TRANQUILITY MASALA INCENSE,242,50.82,0.21,11,9,0.6487935656836461,236.80965147453082,49.0
17084G,MOON INCENSE,50,10.5,0.21,2,2,0.13404825737265416,48.92761394101877,22.0
17084J,LOVE POTION MASALA INCENSE,254,53.34,0.21,12,12,0.6809651474530831,248.55227882037534,50.0
17084N,FAIRY DREAMS INCENSE ,641,133.36,0.20814814814814817,27,22,1.7184986595174263,627.2520107238606,79.0
17084P,DRAGONS BLOOD INCENSE,300,63.0,0.21,12,12,0.8042895442359249,293.5656836461126,54.0
17084R,ASSORTED INCENSE PACK,41,8.61,0.21,2,2,0.10991957104557641,40.12064343163539,20.0
17090A,LAVENDER INCENSE 40 CONES IN TIN,106,113.3,1.2055555555555555,18,18,0.28418230563002683,103.7265415549598,32.0
17090D,VANILLA INCENSE 40 CONES IN TIN,66,77.7,1.2289473684210528,18,17,0.1769436997319035,64.58445040214477,25.0
17091A,LAVENDER INCENSE IN TIN,1045,617.21,1.0137037037037038,81,64,2.8016085790884717,1022.5871313672922,101.0
17091B,JASMINE TEA INCENSE IN TIN,264,286.8,1.2227272727272727,43,35,0.707774798927614,258.33780160857907,51.0
17091F,SANDALWOOD INCENSE IN TIN,16,20.0,1.25,6,6,0.04289544235924933,15.656836461126005,13.0
17091J,VANILLA INCENSE IN TIN,1086,605.8199999999999,0.9716,74,58,2.9115281501340484,1062.7077747989276,103.0
17096,ASSORTED LAQUERED INCENSE HOLDERS,125,26.25,0.21,9,9,0.3351206434316354,122.31903485254692,35.0
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",151,385.05,2.55,39,32,0.40482573726541554,147.76139410187668,38.0
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,307,128.94,0.42,22,17,0.8230563002680965,300.4155495978552,55.0
17109A,FLOWER FAIRY INCENSE LILY,49,82.81,1.69,8,8,0.13136729222520108,47.949061662198396,22.0
17109B,FLOWER FAIRY INCENSE LAVENDER,77,90.83,1.570909090909091,11,8,0.2064343163538874,75.3485254691689,27.0
17109C,FLOWER FAIRY INCENSE ROSE,41,69.29,1.69,10,8,0.10991957104557641,40.12064343163539,20.0
17109D,FLOWER FAIRY INCENSE BOUQUET,114,145.5,1.6396153846153845,25,25,0.30563002680965146,111.55495978552278,33.0
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,12,10.2,0.85,9,6,0.032171581769437,11.742627345844504,11.0
17129D,CLEAR COLOUR GLASS GEMS IN BAG,158,114.13999999999999,0.794,15,10,0.42359249329758714,154.6112600536193,39.0
17129F,DEEP BLUE GLASS GEMS IN BAG,249,166.29,0.7505263157894737,18,10,0.6675603217158177,243.65951742627345,49.0
17136A,BLUE STONES ON WIRE FOR CANDLE,247,20.669999999999998,0.11714285714285713,14,12,0.6621983914209115,241.7024128686327,49.0
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,911,380.82,0.41927536231884055,68,54,2.442359249329759,891.461126005362,94.0
17164D,ASS COL SMALL SAND FROG P'WEIGHT,424,178.07999999999998,0.42,24,23,1.1367292225201073,414.9061662198392,64.0
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,467,472.34999999999997,1.0396551724137932,54,41,1.2520107238605898,456.98391420911526,68.0
17165D,ASS COL LARGE SAND FROG P'WEIGHT,509,500.97,1.0377380952380952,80,57,1.3646112600536193,498.08310991957103,71.0
17174,ASSTD RASTA KEY-CHAINS,27,11.34,0.42,4,4,0.07238605898123325,26.420911528150135,16.0
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,1.234,24,20,0.35656836461126007,130.14745308310992,36.0
17181,CIRCLE OF FRIENDS CANDLE HOLDER,222,280.5,2.1982758620689653,27,25,0.5951742627345844,217.2386058981233,47.0
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,29,108.75,3.75,10,8,0.0777479892761394,28.378016085790883,17.0
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,368,66.24,0.18,31,26,0.9865951742627346,360.10723860589815,60.0
18010,ASSORTED FRAGRANCE BATH CONFETTI,56,23.52,0.42,6,6,0.15013404825737264,54.79892761394102,23.0
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,211,239.75,1.1966666666666665,30,15,0.5656836461126006,206.4745308310992,45.0
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,58,147.9,2.55,12,11,0.1554959785522788,56.756032171581765,24.0
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,13,33.15,2.55,9,7,0.03485254691689008,12.721179624664881,11.0
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,7,17.849999999999998,2.55,3,3,0.01876675603217158,6.849865951742627,8.0
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,576,1465.2,2.5445454545454544,109,79,1.5442359249329758,563.6461126005362,75.0
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,5.9,2.95,2,2,0.005361930294906166,1.9571045576407506,4.0
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,8.850000000000001,2.9500000000000006,3,3,0.00804289544235925,2.935656836461126,5.0
18098C,PORCELAIN BUTTERFLY OIL BURNER,663,1931.8500000000001,2.9335616438356165,141,91,1.7774798927613942,648.7801608579089,81.0
20615,BLUE SPOTTY PASSPORT COVER,131,275.1,2.1,46,37,0.3512064343163539,128.19034852546918,36.0
20616,CHERRY BLOSSOM PASSPORT COVER,56,117.60000000000001,2.1,20,15,0.15013404825737264,54.79892761394102,23.0
20617,FIRST CLASS PASSPORT COVER ,186,388.14,2.091276595744681,47,45,0.49865951742627346,182.01072386058982,43.0
20618,QUEEN OF THE SKIES PASSPORT COVER ,126,264.6,2.1,47,38,0.3378016085790885,123.2975871313673,35.0
20619,TROPICAL PASSPORT COVER ,131,275.1,2.1,45,34,0.3512064343163539,128.19034852546918,36.0
20620,RED SPOTTY PASSPORT COVER,1,2.1,2.1,1,1,0.002680965147453083,0.9785522788203753,3.0
20621,ECONOMY PASSPORT COVER ,99,207.9,2.1,28,23,0.26541554959785524,96.87667560321717,31.0
20622,VIPPASSPORT COVER ,161,338.1,2.1,49,39,0.4316353887399464,157.54691689008044,40.0
20652,BLUE SPOTTY LUGGAGE TAG ,270,337.5,1.25,55,49,0.7238605898123325,264.20911528150134,51.0
20653,CHERRY BLOSSOM LUGGAGE TAG,94,115.22,1.2420833333333332,24,20,0.2520107238605898,91.98391420911528,30.0
20654,FIRST CLASS LUGGAGE TAG ,234,287.94,1.2437704918032788,61,51,0.6273458445040214,228.9812332439678,48.0
20655,QUEEN OF SKIES LUGGAGE TAG,179,216.91,1.240952380952381,60,42,0.47989276139410186,175.1608579088472,42.0
20657,TROPICAL LUGGAGE TAG,132,165.0,1.25,47,35,0.353887399463807,129.16890080428954,36.0
20658,RED SPOTTY LUGGAGE TAG,1028,1280.44,1.2477906976744186,168,130,2.7560321715817695,1005.9517426273459,100.0
20659,ECONOMY LUGGAGE TAG,194,242.5,1.25,61,42,0.5201072386058981,189.8391420911528,44.0
20660,VIP LUGGAGE TAG ,71,88.75,1.25,26,22,0.1903485254691689,69.47721179624665,26.0
20661,BLUE SPOTTY PURSE ,179,528.0500000000001,2.95,36,33,0.47989276139410186,175.1608579088472,42.0
20662,FIRST CLASS HOLIDAY PURSE ,86,251.30000000000004,2.927777777777778,18,17,0.23056300268096513,84.15549597855228,29.0
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,34,95.50000000000001,2.91,10,9,0.09115281501340483,33.270777479892764,18.0
20664,TROPICAL HOLIDAY PURSE ,25,73.75,2.95,13,8,0.06702412868632708,24.463806970509385,16.0
20665,RED SPOTTY PURSE ,845,2480.7500000000005,2.9422077922077925,154,124,2.265415549597855,826.8766756032171,91.0
20666,ECONOMY HOLIDAY PURSE,67,192.85000000000002,2.9250000000000003,16,16,0.17962466487935658,65.56300268096516,26.0
20667,CHERRY BLOSSOM PURSE,20,59.00000000000001,2.95,8,6,0.05361930294906166,19.571045576407506,14.0
20668,DISCO BALL CHRISTMAS DECORATION,1785,214.2,0.11999999999999998,88,65,4.785522788203753,1746.71581769437,132.0
20669,RED HEART LUGGAGE TAG,447,556.47,1.2479787234042554,93,75,1.198391420911528,437.4128686327077,66.0
20670,VIP HOLIDAY PURSE,56,165.20000000000002,2.95,14,14,0.15013404825737264,54.79892761394102,23.0
20671,BLUE TEATIME PRINT BOWL ,659,823.75,1.25,105,69,1.7667560321715818,644.8659517426273,80.0
20672,PINK TEATIME PRINT BOWL,116,145.0,1.25,22,21,0.3109919571045576,113.51206434316353,34.0
20673,STRAWBERRIES PRINT BOWL,5,6.25,1.25,2,2,0.013404825737265416,4.892761394101877,7.0
20674,GREEN SPOTTY BOWL,1470,1837.5,1.25,211,130,3.941018766756032,1438.4718498659518,120.0
20675,BLUE SPOTTY BOWL,2106,2632.5,1.25,302,178,5.646112600536193,2060.8310991957105,144.0
20676,RED SPOTTY BOWL,3218,4017.94,1.2495343137254902,406,239,8.627345844504022,3148.9812332439683,177.0
20677,PINK SPOTTY BOWL,2327,2908.75,1.25,313,181,6.238605898123325,2277.0911528150136,151.0
20679,EDWARDIAN PARASOL RED,1741,9956.95,5.780508474576271,354,182,4.6675603217158175,1703.6595174262734,131.0
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5,3.25,4,4,0.0160857908847185,5.871313672922252,8.0
20681,PINK SPOTTY CHILDS UMBRELLA,1015,3289.75,3.2459016393442623,243,174,2.721179624664879,993.2305630026809,100.0
20682,RED SPOTTY CHILDS UMBRELLA,1436,4658.0,3.2466442953020134,296,208,3.8498659517426272,1405.201072386059,119.0
20683,RAIN GIRL CHILDS UMBRELLA,1,3.25,3.25,1,1,0.002680965147453083,0.9785522788203753,3.0
20684,STRAWBERRY DREAM CHILDS UMBRELLA,424,1369.0,3.242063492063492,125,96,1.1367292225201073,414.9061662198392,64.0
20685,RED SPOTTY COIR DOORMAT,4452,30175.54,7.230390455531453,922,471,11.935656836461126,4356.514745308311,209.0
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,316,1018.0,3.239795918367347,98,77,0.8471849865951743,309.2225201072386,56.0
20688,BEAUTY SPEED EXPRESSO CUPS,42,117.9,4.95,8,8,0.1126005361930295,41.09919571045577,20.0
20689,RETRO SISTERS EXPRESSO CUPS,64,284.8,5.796153846153847,26,24,0.17158176943699732,62.62734584450402,25.0
20692,FLORAL ELEPHANT SOFT TOY,363,1499.25,4.204954954954955,109,74,0.9731903485254692,355.21447721179624,60.0
20693,FLORAL DINOSAUR GREEN,26,110.5,4.25,12,10,0.06970509383378017,25.442359249329762,16.0
20694,FLORAL PINK MONSTER,76,273.48,3.678,15,14,0.2037533512064343,74.36997319034852,27.0
20695,FLORAL BLUE MONSTER,78,315.0,4.163043478260869,23,21,0.20911528150134048,76.32707774798928,28.0
20696,FLORAL SOFT CAR TOY,91,341.25,3.75,24,21,0.24396782841823056,89.04825737265415,30.0
20697,LITTLE GREEN MONSTER SOFT TOY,22,50.699999999999996,2.4681818181818183,11,10,0.058981233243967826,21.528150134048257,15.0
20698,LITTLE PINK MONSTER SOFT TOY,27,63.449999999999996,2.4681818181818183,11,10,0.07238605898123325,26.420911528150135,16.0
20699,MOUSEY LONG LEGS SOFT TOY,180,448.2,2.525,35,32,0.48257372654155495,176.13941018766755,42.0
20700,GREEN CAT FLORAL CUSHION COVER ,38,82.5,3.3333333333333335,6,6,0.10187667560321716,37.18498659517426,19.0
20701,PINK CAT FLORAL CUSHION COVER ,36,75.0,3.4375,8,8,0.09651474530831099,35.22788203753351,19.0
20702,PINK PADDED MOBILE,644,2693.5,4.232673267326732,199,134,1.7265415549597856,630.1876675603218,79.0
20703,BLUE PADDED SOFT MOBILE,458,1934.0,4.234756097560975,164,122,1.227882037533512,448.17694369973185,67.0
20704,MR ROBOT SOFT TOY,134,574.5,6.126,25,22,0.35924932975871315,131.1260053619303,36.0
20705,MRS ROBOT SOFT TOY,126,543.7,6.159523809523809,21,20,0.3378016085790885,123.2975871313673,35.0
20707,CRAZY DAISY HEART DECORATION,261,326.25,1.25,29,27,0.6997319034852547,255.40214477211796,51.0
20711,JUMBO BAG TOYS ,3409,6523.45,1.9392803970223325,402,231,9.13941018766756,3335.8847184986594,183.0
20712,JUMBO BAG WOODLAND ANIMALS,3721,7216.95,1.9463235294117647,403,237,9.975871313672922,3641.1930294906165,191.0
20713,JUMBO BAG OWLS,4302,8355.9,1.9469574036511157,489,258,11.533512064343164,4209.731903485254,205.0
20714,POSY SHOPPER BAG,13,16.25,1.25,3,3,0.03485254691689008,12.721179624664881,11.0
