Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12542,120,2,441.56,2,2,2,6,Hibernating,1
12543,84,1,835.05,2,1,3,6,Cant Lose Them,1
12547,136,1,175.78,2,1,1,4,Hibernating,1
12549,211,5,944.72,1,4,4,9,At Risk,0
12553,21,2,916.47,4,2,4,10,New Customers,3
12554,84,1,468.5,2,1,3,6,Cant Lose Them,1
12555,318,1,129.23,1,1,1,3,Lost,1
12557,68,1,491.34000000000003,3,1,3,7,Potential Loyalists,1
12562,21,2,1081.5,4,2,4,10,New Customers,3
12563,44,1,249.24,3,1,2,6,Potential Loyalists,3
12567,3,7,4267.78,5,5,5,15,Champions,2
12568,280,1,70.0,1,1,1,3,Lost,1
12570,318,1,77.52,1,1,1,3,Lost,1
12573,17,4,556.87,4,4,3,11,Loyal Customers,3
12575,93,2,622.82,2,2,3,7,Cant Lose Them,0
12576,28,3,826.89,4,3,3,10,Loyal Customers,0
12577,17,5,908.9,4,4,4,12,Champions,0
12578,21,2,1459.14,4,2,4,10,New Customers,3
12580,212,1,637.2,1,1,3,5,Cant Lose Them,1
12582,58,2,1442.64,3,2,4,9,Potential Loyalists,0
12583,9,13,6873.54,5,5,5,15,Champions,2
12586,10,3,1865.73,5,3,5,13,Loyal Customers,0
12588,35,3,743.88,4,3,3,10,Loyal Customers,0
12589,57,6,4048.98,3,4,5,12,Loyal Customers,0
12591,26,2,886.1,4,2,4,10,New Customers,3
12592,155,3,1741.8600000000001,2,3,4,9,At Risk,0
12594,14,5,1535.89,5,4,4,13,Champions,0
12595,140,1,258.7,2,1,2,5,Hibernating,1
12598,99,3,1410.21,2,3,4,9,At Risk,0
12599,17,6,1193.58,4,4,4,12,Champions,0
12600,7,12,2444.88,5,5,5,15,Champions,2
12601,40,1,104.2,3,1,1,5,Potential Loyalists,1
12605,12,4,1232.95,5,4,4,13,Champions,0
12606,318,1,21.0,1,1,1,3,Lost,1
12608,40,1,159.95000000000002,3,1,1,5,Potential Loyalists,3
12609,10,6,2309.01,5,4,5,14,Champions,2
12613,24,5,3263.71,4,4,5,13,Champions,0
12615,49,4,3368.67,3,4,5,12,Loyal Customers,0
12616,24,1,417.8,4,1,2,7,New Customers,3
12619,196,1,140.14,1,1,1,3,Lost,1
12621,1,16,8149.6,5,5,5,15,Champions,2
12623,52,6,3428.82,3,4,5,12,Loyal Customers,0
12625,145,2,2371.62,2,2,5,9,Cant Lose Them,0
12629,21,2,1385.42,4,2,4,10,New Customers,3
12631,92,5,2841.07,2,4,5,11,At Risk,0
12632,156,2,777.76,2,2,3,7,Cant Lose Them,0
12633,18,3,3438.34,4,3,5,12,Loyal Customers,0
12634,171,2,490.0,2,2,3,7,Cant Lose Them,1
12635,28,2,1241.23,4,2,4,10,New Customers,0
12636,374,1,141.0,1,1,1,3,Lost,1
12637,14,4,2260.75,5,4,5,14,Champions,0
12638,275,1,249.8,1,1,2,4,Lost,1
12639,70,2,826.27,3,2,3,8,Potential Loyalists,0
12643,21,4,606.0,4,4,3,11,Loyal Customers,3
12644,66,3,1440.58,3,3,4,10,Loyal Customers,0
12645,45,4,1764.12,3,4,4,11,Loyal Customers,0
12647,3,26,11495.38,5,5,5,15,Champions,2
12648,73,3,753.15,2,3,3,8,At Risk,0
12649,18,4,1468.94,4,4,4,12,Champions,0
12651,14,3,263.75,5,3,2,10,Loyal Customers,3
12652,70,1,97.05000000000001,3,1,1,5,Potential Loyalists,1
12653,162,1,1950.98,2,1,5,8,Cant Lose Them,0
12655,59,1,261.35,3,1,2,6,Potential Loyalists,1
12656,61,3,2356.66,3,3,5,11,Loyal Customers,0
12661,72,1,162.0,2,1,1,4,Hibernating,1
12662,9,10,3138.2400000000002,5,5,5,15,Champions,2
12663,260,2,160.20000000000002,1,2,1,4,Hibernating,1
12664,150,2,520.0,2,2,3,7,Cant Lose Them,1
12665,53,2,250.6,3,2,2,7,Potential Loyalists,3
12666,30,1,1248.42,4,1,4,9,New Customers,3
12668,14,6,7555.72,5,4,5,14,Champions,2
12670,21,2,764.24,4,2,3,9,New Customers,3
12671,242,1,1766.161,1,1,4,6,Cant Lose Them,0
12672,231,1,211.15,1,1,1,3,Lost,1
12673,37,1,619.5,3,1,3,7,Potential Loyalists,3
12675,189,2,957.25,1,2,4,7,Cant Lose Them,0
12676,44,5,1300.98,3,4,4,11,Loyal Customers,0
12677,191,2,395.1,1,2,2,5,Hibernating,1
12678,11,9,4310.06,5,5,5,15,Champions,2
12681,3,24,16210.02,5,5,5,15,Champions,2
12682,1,23,11690.01,5,5,5,15,Champions,2
12683,1,8,4220.21,5,5,5,15,Champions,2
12686,7,1,89.14,5,1,1,7,New Customers,3
12687,116,2,2098.59,2,2,5,9,Cant Lose Them,0
12691,56,1,134.6,3,1,1,5,Potential Loyalists,1
12692,273,1,110.95,1,1,1,3,Lost,1
12693,32,3,847.11,4,3,3,10,Loyal Customers,0
12694,57,1,973.68,3,1,4,8,Potential Loyalists,3
12695,164,3,825.02,2,3,3,8,At Risk,0
12696,70,2,851.91,3,2,3,8,Potential Loyalists,0
12698,226,1,339.75,1,1,2,4,Lost,1
12699,53,1,638.11,3,1,3,7,Potential Loyalists,3
12701,165,4,1608.38,2,4,4,10,At Risk,0
12703,269,3,722.98,1,3,3,7,At Risk,0
12705,19,5,4893.81,4,4,5,13,Champions,2
12708,4,9,2587.27,5,5,5,15,Champions,2
12709,2,20,15460.78,5,5,5,15,Champions,2
12711,247,2,1233.45,1,2,4,7,Cant Lose Them,0
12712,1,10,2773.05,5,5,5,15,Champions,2
12714,24,7,8981.65,4,5,5,14,Champions,2
12717,226,1,277.93,1,1,2,4,Lost,1
12720,5,6,2451.1,5,4,5,14,Champions,2
12721,21,2,1356.95,4,2,4,10,New Customers,3
12724,19,3,1185.31,4,3,4,11,Loyal Customers,0
12725,7,4,2076.92,5,4,5,14,Champions,2
12726,23,4,940.86,4,4,4,12,Champions,0
12727,78,3,1698.8300000000002,2,3,4,9,At Risk,0
12728,19,1,233.84,4,1,2,7,New Customers,3
12730,157,1,829.25,2,1,3,6,Cant Lose Them,1
12731,78,4,4042.4,2,4,5,11,At Risk,0
12733,25,3,2040.92,4,3,5,12,Loyal Customers,0
12734,10,2,296.75,5,2,2,9,New Customers,3
12737,134,2,3710.5,2,2,5,9,Cant Lose Them,0
12738,8,1,155.35,5,1,1,7,New Customers,3
12739,21,2,1713.69,4,2,4,10,New Customers,0
12741,165,2,406.07,2,2,2,6,Hibernating,1
12742,261,1,1080.56,1,1,4,6,Cant Lose Them,1
12744,95,4,3065.53,2,4,5,11,At Risk,0
12745,122,3,779.49,2,3,3,8,At Risk,0
12746,176,1,254.55,2,1,2,5,Hibernating,1
12747,5,16,4477.83,5,5,5,15,Champions,2
12748,1,144,19027.75,5,5,5,15,Champions,2
12749,35,4,2806.48,4,4,5,13,Champions,0
12751,80,1,268.27,2,1,2,5,Hibernating,1
12755,21,9,867.5100000000001,4,5,4,13,Champions,2
12758,95,5,6038.93,2,4,5,11,At Risk,0
12759,22,5,3469.14,4,4,5,13,Champions,0
12760,91,1,347.8,2,1,2,5,Hibernating,1
12761,93,2,782.95,2,2,3,7,Cant Lose Them,0
12763,5,1,320.08,5,1,2,8,New Customers,3
12765,108,6,1226.38,2,4,4,10,At Risk,0
12766,2,3,2915.4500000000003,5,3,5,13,Loyal Customers,2
12767,11,1,828.86,5,1,3,9,New Customers,3
12768,86,1,150.45000000000002,2,1,1,4,Hibernating,1
12770,92,1,628.2,2,1,3,6,Cant Lose Them,1
12771,121,1,282.3,2,1,2,5,Hibernating,1
12773,200,1,37.25,1,1,1,3,Lost,1
12774,171,1,98.7,2,1,1,4,Hibernating,1
12775,24,2,300.08000000000004,4,2,2,8,New Customers,3
12776,303,1,55.5,1,1,1,3,Lost,1
12777,93,1,424.95,2,1,2,5,Hibernating,1
12778,32,3,885.53,4,3,4,11,Loyal Customers,0
12779,7,7,2680.91,5,5,5,15,Champions,2
12780,234,1,297.08,1,1,2,4,Lost,1
12782,10,6,2287.32,5,4,5,14,Champions,2
12784,165,1,1230.33,2,1,4,7,Cant Lose Them,1
12785,171,2,749.45,2,2,3,7,Cant Lose Them,1
12786,245,1,608.5000000000001,1,1,3,5,Cant Lose Them,1
12787,49,1,398.52,3,1,2,6,Potential Loyalists,3
12788,99,4,444.90000000000003,2,4,2,8,At Risk,0
12789,148,2,181.5,2,2,1,5,Hibernating,1
12790,46,1,266.93,3,1,2,6,Potential Loyalists,3
12791,9,6,585.11,5,4,3,12,Loyal Customers,3
12792,170,1,426.47,2,1,2,5,Hibernating,1
12793,7,2,471.85,5,2,3,10,New Customers,3
12796,264,1,381.0,1,1,2,4,Lost,1
12797,1,2,552.08,5,2,3,10,New Customers,3
12798,57,1,43.49,3,1,1,5,Potential Loyalists,1
12799,165,1,219.35,2,1,1,4,Hibernating,1
12800,106,3,584.25,2,3,3,8,At Risk,0
12801,136,1,1057.9,2,1,4,7,Cant Lose Them,1
12802,78,6,1820.52,2,4,4,10,At Risk,0
12803,29,1,972.81,4,1,4,9,New Customers,3
12804,101,2,325.37,2,2,2,6,Hibernating,1
12805,17,4,1434.95,4,4,4,12,Champions,0
12806,71,4,1531.26,3,4,4,11,Loyal Customers,0
12807,19,1,330.35,4,1,2,7,New Customers,3
12808,4,3,422.45,5,3,2,10,Loyal Customers,3
12809,201,2,1266.63,1,2,4,7,Cant Lose Them,0
12810,170,2,474.99,2,2,3,7,Cant Lose Them,1
12811,14,2,519.0500000000001,5,2,3,10,New Customers,3
12813,137,3,1209.0,2,3,4,9,At Risk,0
12817,35,2,524.94,4,2,3,9,New Customers,3
12819,94,1,420.28000000000003,2,1,2,5,Hibernating,1
12820,33,7,1680.34,4,5,4,13,Champions,0
12821,247,1,128.08,1,1,1,3,Lost,1
12823,162,4,762.0,2,4,3,9,At Risk,0
12825,157,2,518.63,2,2,3,7,Cant Lose Them,1
12826,1,6,1396.03,5,4,4,13,Champions,2
12829,186,1,55.82,1,1,1,3,Lost,1
12831,99,2,215.9,2,2,1,5,Hibernating,1
12835,63,41,5968.99,3,5,5,13,Loyal Customers,2
12836,25,11,3949.37,4,5,5,14,Champions,2
12837,205,1,528.5600000000001,1,1,3,5,Cant Lose Them,1
12838,9,9,2360.91,5,5,5,15,Champions,2
12839,3,13,4480.31,5,5,5,15,Champions,2
12840,73,3,1048.44,2,3,4,9,At Risk,0
12841,5,17,3430.11,5,5,5,15,Champions,2
12842,40,2,493.0,3,2,3,8,Potential Loyalists,3
12843,18,20,3078.9,4,5,5,14,Champions,2
12844,78,2,322.64,2,2,2,6,Hibernating,1
12846,318,1,15.58,1,1,1,3,Lost,1
12847,23,1,659.36,4,1,3,8,New Customers,3
12848,311,1,208.0,1,1,1,3,Lost,1
12849,17,4,1895.98,4,4,5,13,Champions,0
12851,113,1,148.95,2,1,1,4,Hibernating,1
12853,63,5,1950.4,3,4,5,12,Loyal Customers,0
12854,197,4,1609.22,1,4,4,9,At Risk,0
12855,8,4,612.84,5,4,3,12,Loyal Customers,3
12857,72,4,2480.8,2,4,5,11,At Risk,0
12858,19,1,147.27,4,1,1,6,New Customers,3
12859,94,1,575.1,2,1,3,6,Cant Lose Them,1
12860,329,1,54.22,1,1,1,3,Lost,1
12861,255,1,68.25,1,1,1,3,Lost,1
12862,61,2,943.82,3,2,4,9,Potential Loyalists,0
12863,15,5,1750.55,5,4,4,13,Champions,0
12864,144,1,0.95,2,1,1,4,Hibernating,1
12865,14,2,1708.68,5,2,4,11,New Customers,3
12866,110,2,668.23,2,2,3,7,Cant Lose Them,0
12867,33,6,3819.92,4,4,5,13,Champions,0
12868,9,3,640.0,5,3,3,11,Loyal Customers,3
12869,317,1,337.66999999999996,1,1,2,4,Lost,1
12870,11,3,1575.19,5,3,4,12,Loyal Customers,3
12871,75,1,139.7,2,1,1,4,Hibernating,1
12872,1,11,3008.12,5,5,5,15,Champions,2
12873,33,2,1552.5,4,2,4,10,New Customers,0
12874,21,2,908.1,4,2,4,10,New Customers,3
12876,30,2,1764.41,4,2,4,10,New Customers,0
12877,37,8,1399.65,3,5,4,12,Loyal Customers,0
12880,17,2,613.73,4,2,3,9,New Customers,3
12887,19,1,222.4,4,1,1,6,New Customers,3
12889,17,4,385.46000000000004,4,4,2,10,Loyal Customers,3
12890,23,1,329.3,4,1,2,7,New Customers,3
12892,32,1,263.38,4,1,2,7,New Customers,3
12894,211,1,157.35,1,1,1,3,Lost,1
12897,17,2,297.75,4,2,2,8,New Customers,3
12898,295,1,143.57,1,1,1,3,Lost,1
12899,49,1,366.4,3,1,2,6,Potential Loyalists,3
12900,58,1,340.33000000000004,3,1,2,6,Potential Loyalists,1
12903,64,1,833.5300000000001,3,1,3,7,Potential Loyalists,3
12905,212,2,984.34,1,2,4,7,Cant Lose Them,0
12907,31,2,508.91,4,2,3,9,New Customers,3
12909,60,3,882.76,3,3,4,10,Loyal Customers,0
12910,15,5,2229.6,5,4,5,14,Champions,2
12911,187,1,1641.64,1,1,4,6,Cant Lose Them,0
12913,4,8,1549.75,5,5,4,14,Champions,2
12914,36,1,81.06,4,1,1,6,New Customers,1
12915,8,3,811.1,5,3,3,11,Loyal Customers,3
12916,78,3,1344.7,2,3,4,9,At Risk,0
12917,36,4,1121.0,4,4,4,12,Champions,0
12918,262,1,10953.5,1,1,5,7,Cant Lose Them,0
12920,207,3,323.86,1,3,2,6,At Risk,1
12921,2,39,17684.97,5,5,5,15,Champions,2
12923,26,2,597.6,4,2,3,9,New Customers,3
12924,29,8,731.82,4,5,3,12,Loyal Customers,0
12925,228,1,25.2,1,1,1,3,Lost,1
12926,47,4,1523.97,3,4,4,11,Loyal Customers,0
12927,30,1,197.31,4,1,1,6,New Customers,3
12928,14,7,2105.15,5,5,5,15,Champions,2
12931,185,13,2412.4900000000002,1,5,5,11,At Risk,0
12932,175,8,1309.28,2,5,4,11,At Risk,0
12933,16,5,1029.1,4,4,4,12,Champions,0
12934,372,1,181.65,1,1,1,3,Lost,1
12935,11,8,2083.16,5,5,5,15,Champions,2
12937,99,5,1593.34,2,4,4,10,At Risk,0
12939,25,2,162.72,4,2,1,7,New Customers,3
12941,360,1,318.45,1,1,2,4,Lost,1
12942,1,1,258.75,5,1,2,8,New Customers,3
12943,194,2,417.3,1,2,2,5,Hibernating,1
12945,292,1,437.16,1,1,2,4,Lost,1
12946,72,1,324.45,2,1,2,5,Hibernating,1
12947,9,1,304.04,5,1,2,8,New Customers,3
12948,366,2,216.0,1,2,1,4,Hibernating,1
12949,18,14,11279.68,4,5,5,14,Champions,2
12951,22,9,2149.65,4,5,5,14,Champions,2
12953,158,1,498.96,2,1,3,6,Cant Lose Them,1
12954,274,1,162.45,1,1,1,3,Lost,1
12956,320,3,399.90000000000003,1,3,2,6,At Risk,1
12957,177,5,4602.55,2,4,5,11,At Risk,0
12958,36,2,467.34,4,2,3,9,New Customers,3
12959,120,1,110.15,2,1,1,4,Hibernating,1
12960,49,4,1190.0700000000002,3,4,4,11,Loyal Customers,0
12961,15,1,198.07,5,1,1,7,New Customers,3
12963,1,5,1696.1200000000001,5,4,4,13,Champions,2
12964,73,1,132.24,2,1,1,4,Hibernating,1
12967,7,2,2274.62,5,2,5,12,New Customers,3
12969,238,1,122.45,1,1,1,3,Lost,1
12970,16,6,988.13,4,4,4,12,Champions,0
12971,2,32,3553.78,5,5,5,15,Champions,2
12972,49,4,1105.52,3,4,4,11,Loyal Customers,0
12973,49,1,385.55,3,1,2,6,Potential Loyalists,3
12974,201,1,264.15,1,1,2,4,Lost,1
12975,72,6,2086.17,2,4,5,11,At Risk,0
12976,14,7,2303.06,5,5,5,15,Champions,2
12977,137,3,474.64,2,3,3,8,At Risk,0
12978,21,5,2492.32,4,4,5,13,Champions,0
12979,365,1,400.7,1,1,2,4,Lost,1
12980,22,12,6789.360000000001,4,5,5,14,Champions,2
12982,30,7,2344.19,4,5,5,14,Champions,0
12983,234,1,358.08,1,1,2,4,Lost,1
12986,64,10,2133.32,3,5,5,13,Loyal Customers,0
12987,56,3,753.51,3,3,3,9,Loyal Customers,0
12989,133,8,1108.2,2,5,4,11,At Risk,0
12990,53,4,546.0,3,4,3,10,Loyal Customers,0
12991,25,1,261.06,4,1,2,7,New Customers,3
12992,361,1,93.35,1,1,1,3,Lost,1
12993,81,4,804.55,2,4,3,9,At Risk,0
12996,11,1,355.5,5,1,2,8,New Customers,3
12997,30,4,880.1800000000001,4,4,4,12,Champions,0
12998,128,3,740.78,2,3,3,8,At Risk,0
13000,361,1,497.65,1,1,3,5,Cant Lose Them,1
13001,40,20,11768.42,3,5,5,13,Loyal Customers,2
13002,52,2,293.18,3,2,2,7,Potential Loyalists,3
13004,22,18,5968.54,4,5,5,14,Champions,2
13005,67,2,485.98,3,2,3,8,Potential Loyalists,3
13007,215,1,175.25,1,1,1,3,Lost,1
13008,33,2,331.66,4,2,2,8,New Customers,3
13009,308,1,234.0,1,1,2,4,Lost,1
13010,10,2,288.12,5,2,2,9,New Customers,3
13011,8,1,50.550000000000004,5,1,1,7,New Customers,3
13012,65,3,1290.8300000000002,3,3,4,10,Loyal Customers,0
13013,7,17,7439.63,5,5,5,15,Champions,2
13014,68,1,1894.64,3,1,5,9,Potential Loyalists,0
13015,74,6,3009.02,2,4,5,11,At Risk,0
13018,49,7,2424.98,3,5,5,13,Loyal Customers,0
13019,15,6,1229.95,5,4,4,13,Champions,2
13020,198,2,618.96,1,2,3,6,Cant Lose Them,1
13021,10,8,2189.7400000000002,5,5,5,15,Champions,2
13022,65,1,65.3,3,1,1,5,Potential Loyalists,1
13023,164,1,745.21,2,1,3,6,Cant Lose Them,1
13024,106,2,555.87,2,2,3,7,Cant Lose Them,1
13025,367,1,233.39000000000001,1,1,2,4,Lost,1
13026,124,4,692.2,2,4,3,9,At Risk,0
13029,10,2,679.8,5,2,3,10,New Customers,3
13030,4,1,402.36,5,1,2,8,New Customers,3
13031,43,5,3292.84,3,4,5,12,Loyal Customers,0
13032,28,7,1674.98,4,5,4,13,Champions,0
13033,65,1,30.0,3,1,1,5,Potential Loyalists,1
13034,5,2,279.91,5,2,2,9,New Customers,3
13035,67,1,402.0,3,1,2,6,Potential Loyalists,1
13036,320,1,307.1,1,1,2,4,Lost,1
13037,35,9,3006.04,4,5,5,14,Champions,2
13039,220,4,1010.73,1,4,4,9,At Risk,0
13041,86,4,799.13,2,4,3,9,At Risk,0
13042,234,3,1457.39,1,3,4,8,At Risk,0
13044,128,10,4141.66,2,5,5,12,At Risk,0
13045,37,2,503.64,3,2,3,8,Potential Loyalists,3
13046,92,1,319.94,2,1,2,5,Hibernating,1
13047,9,17,5137.62,5,5,5,15,Champions,2
13048,72,5,2126.04,2,4,5,11,At Risk,0
13049,25,2,362.76,4,2,2,8,New Customers,3
13050,2,19,6386.95,5,5,5,15,Champions,2
13051,214,1,80.8,1,1,1,3,Lost,1
13052,56,6,2711.18,3,4,5,12,Loyal Customers,0
13053,257,1,127.65,1,1,1,3,Lost,1
13055,65,1,1096.62,3,1,4,8,Potential Loyalists,0
13056,187,1,188.48,1,1,1,3,Lost,1
13057,166,3,445.59,2,3,2,7,At Risk,1
13059,49,9,2066.37,3,5,5,13,Loyal Customers,0
13063,116,1,188.4,2,1,1,4,Hibernating,1
13064,186,2,561.25,1,2,3,6,Cant Lose Them,1
13065,9,5,1055.05,5,4,4,13,Champions,2
13067,45,2,393.05,3,2,2,7,Potential Loyalists,3
13069,5,15,3601.61,5,5,5,15,Champions,2
13070,95,3,522.9,2,3,3,8,At Risk,0
13071,248,1,129.22,1,1,1,3,Lost,1
13073,47,2,418.08,3,2,2,7,Potential Loyalists,3
13074,147,3,602.5,2,3,3,8,At Risk,0
13076,93,1,135.4,2,1,1,4,Hibernating,1
13077,2,8,2259.33,5,5,5,15,Champions,2
13078,2,32,14025.39,5,5,5,15,Champions,2
13079,53,1,199.08,3,1,1,5,Potential Loyalists,1
13080,37,3,222.65,3,3,1,7,Loyal Customers,3
13081,7,18,25636.61,5,5,5,15,Champions,2
13082,60,9,1079.3600000000001,3,5,4,12,Loyal Customers,0
13083,61,1,10.08,3,1,1,5,Potential Loyalists,1
13085,315,6,1916.4,1,4,5,10,At Risk,0
13086,18,1,439.33000000000004,4,1,2,7,New Customers,3
13087,362,1,313.64,1,1,2,4,Lost,1
